id,category,app,website
85,Finance and Fintech,iPayX,https://ipayx.ai/docs
86,Finance and Fintech,QuickBooks,https://developer.intuit.com
87,Finance and Fintech,Xero,https://developer.xero.com
88,Finance and Fintech,Brex,https://developer.brex.com
89,Finance and Fintech,Ramp,https://docs.ramp.com
90,Finance and Fintech,PitchBook,https://pitchbook.com
91,AI Research and Media,NotebookLM,https://notebooklm.google
92,AI Research and Media,Otter AI,https://otter.ai
93,AI Research and Media,Fathom,https://fathom.video
94,AI Research and Media,Consensus,https://consensus.app
95,AI Research and Media,Reducto,https://reducto.ai
96,AI Research and Media,Devin,https://devin.ai
97,AI Research and Media,Higgsfield,https://higgsfield.ai
98,AI Research and Media,Mermaid CLI,https://github.com/mermaid-js/mermaid-cli
99,AI Research and Media,YouTube Transcript,https://transcriptapi.com
100,AI Research and Media,Grain,https://grain.com
